DateTime,Log Description,Action
2022-11-24 08:41:48,DTC P0A80 : Weak Cell,Raised
2022-11-24 08:41:48,DTC P0A04 : Cell Open Wiring,Raised
2022-11-24 08:41:48,DTC P0AA6 : High Voltage Isolation,Raised
2022-11-24 08:45:34,DTC P0A80 : Weak Cell,Raised
2022-11-24 08:45:34,DTC P0A04 : Cell Open Wiring,Raised
2022-11-24 08:45:34,DTC P0AA6 : High Voltage Isolation,Raised
2022-11-24 08:48:00,DTC P0A80 : Weak Cell,Raised
2022-11-24 08:48:00,DTC P0A04 : Cell Open Wiring,Raised
2022-11-24 08:48:00,DTC P0AA6 : High Voltage Isolation,Raised
2022-11-24 10:55:21,DTC P0A80 : Weak Cell,Raised
2022-11-24 11:01:19,DTC P0A80 : Weak Cell,Raised
2022-11-24 11:01:19,DTC P0A04 : Cell Open Wiring,Raised
2022-11-24 11:01:19,DTC P0AA6 : High Voltage Isolation,Raised
2022-11-24 11:01:30,DTC P0A80 : Weak Cell,Raised
2022-11-24 11:01:30,DTC P0A04 : Cell Open Wiring,Raised
2022-11-24 11:01:30,DTC P0AA6 : High Voltage Isolation,Raised
2022-11-24 11:02:28,DTC P0A80 : Weak Cell,Raised
2022-11-24 11:02:28,DTC P0A04 : Cell Open Wiring,Raised
2022-11-24 11:02:28,DTC P0AA6 : High Voltage Isolation,Raised
2022-11-24 11:03:09,DTC P0A80 : Weak Cell,Raised
2022-11-24 11:03:09,DTC P0A04 : Cell Open Wiring,Raised
2022-11-24 11:03:09,DTC P0AA6 : High Voltage Isolation,Raised
2022-11-24 11:03:42,DTC P0A80 : Weak Cell,Raised
2022-11-24 11:03:42,DTC P0A04 : Cell Open Wiring,Raised
2022-11-24 11:03:42,DTC P0AA6 : High Voltage Isolation,Raised
2022-11-24 11:09:13,DTC P0A80 : Weak Cell,Raised
2022-11-24 11:09:13,DTC P0A04 : Cell Open Wiring,Raised
2022-11-24 11:09:13,DTC P0AA6 : High Voltage Isolation,Raised
2022-11-24 11:10:10,DTC P0A80 : Weak Cell,Raised
2022-11-24 11:10:10,DTC P0A04 : Cell Open Wiring,Raised
2022-11-24 11:10:10,DTC P0AA6 : High Voltage Isolation,Raised
2022-11-24 11:10:46,DTC P0A80 : Weak Cell,Raised
2022-11-24 11:10:46,DTC P0A04 : Cell Open Wiring,Raised
2022-11-24 11:10:46,DTC P0AA6 : High Voltage Isolation,Raised
2022-11-24 11:14:43,DTC P0A80 : Weak Cell,Raised
2022-11-24 11:14:43,DTC P0A04 : Cell Open Wiring,Raised
2022-11-24 11:14:43,DTC P0AA6 : High Voltage Isolation,Raised
2022-11-24 11:18:13,DTC P0A80 : Weak Cell,Raised
2022-11-24 11:18:13,DTC P0A04 : Cell Open Wiring,Raised
2022-11-24 11:18:13,DTC P0AA6 : High Voltage Isolation,Raised
2022-11-24 11:18:18,DTC P0A80 : Weak Cell,Raised
2022-11-24 11:18:18,DTC P0A04 : Cell Open Wiring,Raised
2022-11-24 11:18:18,DTC P0AA6 : High Voltage Isolation,Raised
2022-11-24 11:21:12,DTC P0A80 : Weak Cell,Raised
2022-11-24 11:21:12,DTC P0A04 : Cell Open Wiring,Raised
2022-11-24 11:21:12,DTC P0AA6 : High Voltage Isolation,Raised
2022-11-24 11:21:55,DTC P0A80 : Weak Cell,Raised
2022-11-24 11:21:55,DTC P0A04 : Cell Open Wiring,Raised
2022-11-24 11:21:55,DTC P0AA6 : High Voltage Isolation,Raised
2022-11-24 11:22:21,DTC P0A80 : Weak Cell,Raised
2022-11-24 11:22:21,DTC P0A04 : Cell Open Wiring,Raised
2022-11-24 11:22:21,DTC P0AA6 : High Voltage Isolation,Raised
2022-11-24 11:34:20,DTC P0A80 : Weak Cell,Raised
2022-11-24 11:34:20,DTC P0A04 : Cell Open Wiring,Raised
2022-11-24 11:34:20,DTC P0AA6 : High Voltage Isolation,Raised
2022-11-24 11:38:48,DTC P0A80 : Weak Cell,Raised
2022-11-24 11:38:48,DTC P0A04 : Cell Open Wiring,Raised
2022-11-24 11:38:48,DTC P0AA6 : High Voltage Isolation,Raised
2022-11-24 11:40:15,DTC P0A80 : Weak Cell,Raised
2022-11-24 11:40:15,DTC P0A04 : Cell Open Wiring,Raised
2022-11-24 11:40:15,DTC P0AA6 : High Voltage Isolation,Raised
2022-11-24 11:40:22,DTC P0A80 : Weak Cell,Raised
2022-11-24 11:40:22,DTC P0A04 : Cell Open Wiring,Raised
2022-11-24 11:40:22,DTC P0AA6 : High Voltage Isolation,Raised
2022-11-24 11:40:27.901424,BMS Reset by operator,N/A
2022-11-24 11:40:35.732028,BMS Reset by operator,N/A
2022-11-24 11:40:45.941852,BMS Reset by operator,N/A
2022-11-24 11:40:48.691519,BMS Reset by operator,N/A
2022-11-24 11:40:50.449781,BMS Reset by operator,N/A
2022-11-24 11:41:17,DTC P0A80 : Weak Cell,Raised
2022-11-24 11:41:17,DTC P0A04 : Cell Open Wiring,Raised
2022-11-24 11:41:17,DTC P0AA6 : High Voltage Isolation,Raised
2022-11-24 11:41:19.100785,BMS Reset by operator,N/A
2022-11-24 11:41:43.496841,BMS Reset by operator,N/A
2022-11-24 12:05:12,DTC P0A80 : Weak Cell,Raised
2022-11-24 12:05:12,DTC P0A04 : Cell Open Wiring,Raised
2022-11-24 12:05:12,DTC P0AA6 : High Voltage Isolation,Raised
2022-11-24 12:06:45,Master BMS Communication failure,Raised
2022-11-24 15:46:52.744338,Master BMS Communication failure,Raised
2022-11-24 15:50:09.476916,Master BMS Communication failure,Raised
2022-11-24 15:50:44.709703,Master BMS Communication failure,Raised
2022-11-24 16:23:13.136647,Master BMS Communication failure,Raised
2022-11-24 16:25:59.265131,Master BMS Communication failure,Raised
2022-11-24 16:26:44.525156,Master BMS Communication failure,Raised
